municipio,año,fecha,temp_min_C,temp_max_C,temp_media_C,latitud,longitud
CAMPO DE LA CRUZ,2022,2022-06-15,24.126763916015648,29.669183349609398,26.897973632812523,10.402620855645086,-74.87840832085742
CANDELARIA,2022,2022-06-15,23.740563964843716,29.632501220703148,26.686532592773432,10.489019585448387,-74.87756539446083
GALAPA,2022,2022-06-15,23.259698486328148,29.984552001953148,26.622125244140648,10.897721024361596,-74.88708921871891
JUAN DE ACOSTA,2022,2022-06-15,23.521356201171898,29.288110351562523,26.40473327636721,10.823092520111464,-75.07842405936859
LURUACO,2022,2022-06-15,23.48213433159725,29.382060411241298,26.432097371419275,10.635031161141915,-75.15402741021481
MALAMBO,2022,2022-06-15,23.644189453125023,30.10574747721364,26.87496846516933,10.848289285861629,-74.8061750526255
MANATÍ,2022,2022-06-15,24.611962890625023,29.810388183593716,27.21117553710937,10.45414802741401,-74.98477032732278
PALMAR DE VARELA,2022,2022-06-15,23.850946044921898,29.932641601562523,26.89179382324221,10.694812386323434,-74.77015084732946
PIOJÓ,2022,2022-06-15,23.452702953197388,29.3362998679832,26.394501410590294,10.740779525620145,-75.14364579776823
POLONUEVO,2022,2022-06-15,23.567376708984398,29.64166666666671,26.604521687825553,10.767401673530337,-74.85414835065527
PONEDERA,2022,2022-06-15,23.762994384765648,29.867089843750023,26.815042114257835,10.59465105071938,-74.79847290791345
PUERTO COLOMBIA,2022,2022-06-15,23.733728027343716,29.709619140625023,26.72167358398437,11.00468737217774,-74.90650030692068
REPELÓN,2022,2022-06-15,23.88817522967304,29.57059687861687,26.729386054144953,10.507568372875568,-75.12187933511093
SABANAGRANDE,2022,2022-06-15,23.879113769531273,29.783624267578148,26.83136901855471,10.798940150928054,-74.76879660339148
SABANALARGA,2022,2022-06-15,23.570428466796898,29.519342041015648,26.544885253906273,10.62250793138987,-74.95510483828492
SANTA LUCÍA,2022,2022-06-15,24.289839680989644,29.67328287760421,26.981561279296926,10.35364191997005,-74.96541178661992
SANTO TOMÁS,2022,2022-06-15,23.567376708984398,29.64166666666671,26.604521687825553,10.744048200714978,-74.79479581261772
SOLEDAD,2022,2022-06-15,23.793756103515648,30.549066162109398,27.171411132812523,10.906909741834337,-74.77842447604834
SUAN,2022,2022-06-15,24.130792236328148,29.540277099609398,26.835534667968773,10.310850238176537,-74.90713309116475
TUBARÁ,2022,2022-06-15,23.640069580078148,29.488916015625023,26.564492797851585,10.907060348938533,-74.98448392990626
USIACURÍ,2022,2022-06-15,23.35461832682296,29.338728841145837,26.346673583984398,10.740522656584362,-74.98267412624779
BARRANQUILLA,2022,2022-06-16,24.815881347656273,31.320977783203148,28.06842956542971,10.98152771823087,-74.82774915964693
BARANOA,2022,2022-06-16,23.519464111328148,30.744531250000023,27.131997680664085,10.793293658378715,-74.92219640305643
CAMPO DE LA CRUZ,2022,2022-06-16,24.536248779296898,31.001611328125023,27.76893005371096,10.402620855645086,-74.87840832085742
CANDELARIA,2022,2022-06-16,24.131677246093716,30.905236816406273,27.518457031249994,10.489019585448387,-74.87756539446083
GALAPA,2022,2022-06-16,24.153070068359398,31.136743164062523,27.64490661621096,10.897721024361596,-74.88708921871891
JUAN DE ACOSTA,2022,2022-06-16,23.570642089843716,30.122766113281273,26.846704101562494,10.823092520111464,-75.07842405936859
LURUACO,2022,2022-06-16,23.685859510633748,30.500566948784808,27.093213229709278,10.635031161141915,-75.15402741021481
MALAMBO,2022,2022-06-16,24.403049723307333,31.424330647786462,27.913690185546898,10.848289285861629,-74.8061750526255
MANATÍ,2022,2022-06-16,24.701196289062523,30.461816406250023,27.581506347656273,10.45414802741401,-74.98477032732278
PALMAR DE VARELA,2022,2022-06-16,24.368188476562523,31.595788574218773,27.981988525390648,10.694812386323434,-74.77015084732946
PIOJÓ,2022,2022-06-16,23.633587420428228,30.394963695384888,27.014275557906558,10.740779525620145,-75.14364579776823
POLONUEVO,2022,2022-06-16,24.100305175781273,31.24506022135421,27.67268269856774,10.767401673530337,-74.85414835065527
PONEDERA,2022,2022-06-16,24.215783691406273,31.362451171875023,27.789117431640648,10.59465105071938,-74.79847290791345
PUERTO COLOMBIA,2022,2022-06-16,24.788232421875023,30.952752685546898,27.87049255371096,11.00468737217774,-74.90650030692068
