municipio,año,fecha,temp_min,latitud,longitud
PONEDERA,2021,2021-12-16,297.0653076171875,10.59465105071938,-74.79847290791345
PUERTO COLOMBIA,2021,2021-12-16,298.1796569824219,11.00468737217774,-74.90650030692068
REPELÓN,2021,2021-12-16,296.99381623444737,10.507568372875568,-75.12187933511093
SABANAGRANDE,2021,2021-12-16,297.4925842285156,10.798940150928054,-74.76879660339148
SABANALARGA,2021,2021-12-16,296.81890869140625,10.62250793138987,-74.95510483828492
SANTA LUCÍA,2021,2021-12-16,297.4757995605469,10.35364191997005,-74.96541178661992
SANTO TOMÁS,2021,2021-12-16,297.1842041015625,10.744048200714978,-74.79479581261772
SOLEDAD,2021,2021-12-16,297.6186218261719,10.906909741834337,-74.77842447604834
SUAN,2021,2021-12-16,297.5777893066406,10.310850238176537,-74.90713309116475
TUBARÁ,2021,2021-12-16,297.5267333984375,10.907060348938533,-74.98448392990626
USIACURÍ,2021,2021-12-16,296.8053385416667,10.740522656584362,-74.98267412624779
BARRANQUILLA,2021,2021-12-17,298.731201171875,10.98152771823087,-74.82774915964693
BARANOA,2021,2021-12-17,297.41522216796875,10.793293658378715,-74.92219640305643
CAMPO DE LA CRUZ,2021,2021-12-17,297.8299560546875,10.402620855645086,-74.87840832085742
CANDELARIA,2021,2021-12-17,297.3755798339844,10.489019585448387,-74.87756539446083
GALAPA,2021,2021-12-17,297.6893310546875,10.897721024361596,-74.88708921871891
JUAN DE ACOSTA,2021,2021-12-17,297.4642333984375,10.823092520111464,-75.07842405936859
LURUACO,2021,2021-12-17,297.42808024088544,10.635031161141915,-75.15402741021481
MALAMBO,2021,2021-12-17,297.9466756184896,10.848289285861629,-74.8061750526255
MANATÍ,2021,2021-12-17,297.890380859375,10.45414802741401,-74.98477032732278
PALMAR DE VARELA,2021,2021-12-17,297.9398193359375,10.694812386323434,-74.77015084732946
PIOJÓ,2021,2021-12-17,297.4390597873264,10.740779525620145,-75.14364579776823
POLONUEVO,2021,2021-12-17,297.8327229817708,10.767401673530337,-74.85414835065527
PONEDERA,2021,2021-12-17,297.5230407714844,10.59465105071938,-74.79847290791345
PUERTO COLOMBIA,2021,2021-12-17,298.66021728515625,11.00468737217774,-74.90650030692068
REPELÓN,2021,2021-12-17,297.57120090060766,10.507568372875568,-75.12187933511093
SABANAGRANDE,2021,2021-12-17,298.14312744140625,10.798940150928054,-74.76879660339148
SABANALARGA,2021,2021-12-17,297.3951416015625,10.62250793138987,-74.95510483828492
SANTA LUCÍA,2021,2021-12-17,297.8652852376302,10.35364191997005,-74.96541178661992
SANTO TOMÁS,2021,2021-12-17,297.8327229817708,10.744048200714978,-74.79479581261772
SOLEDAD,2021,2021-12-17,298.007568359375,10.906909741834337,-74.77842447604834
SUAN,2021,2021-12-17,297.8755187988281,10.310850238176537,-74.90713309116475
TUBARÁ,2021,2021-12-17,297.84912109375,10.907060348938533,-74.98448392990626
USIACURÍ,2021,2021-12-17,297.42486572265625,10.740522656584362,-74.98267412624779
BARRANQUILLA,2021,2021-12-18,298.5914306640625,10.98152771823087,-74.82774915964693
BARANOA,2021,2021-12-18,297.1042175292969,10.793293658378715,-74.92219640305643
CAMPO DE LA CRUZ,2021,2021-12-18,297.849365234375,10.402620855645086,-74.87840832085742
CANDELARIA,2021,2021-12-18,297.393310546875,10.489019585448387,-74.87756539446083
GALAPA,2021,2021-12-18,297.5731506347656,10.897721024361596,-74.88708921871891
JUAN DE ACOSTA,2021,2021-12-18,297.1339416503906,10.823092520111464,-75.07842405936859
LURUACO,2021,2021-12-18,297.1183369954427,10.635031161141915,-75.15402741021481
MALAMBO,2021,2021-12-18,297.7707010904948,10.848289285861629,-74.8061750526255
MANATÍ,2021,2021-12-18,297.778076171875,10.45414802741401,-74.98477032732278
PALMAR DE VARELA,2021,2021-12-18,297.6471252441406,10.694812386323434,-74.77015084732946
PIOJÓ,2021,2021-12-18,297.12236192491315,10.740779525620145,-75.14364579776823
POLONUEVO,2021,2021-12-18,297.53075154622394,10.767401673530337,-74.85414835065527
PONEDERA,2021,2021-12-18,297.3929748535156,10.59465105071938,-74.79847290791345
PUERTO COLOMBIA,2021,2021-12-18,298.5207214355469,11.00468737217774,-74.90650030692068
REPELÓN,2021,2021-12-18,297.33422512478296,10.507568372875568,-75.12187933511093
SABANAGRANDE,2021,2021-12-18,297.8409118652344,10.798940150928054,-74.76879660339148
SABANALARGA,2021,2021-12-18,297.10626220703125,10.62250793138987,-74.95510483828492
SANTA LUCÍA,2021,2021-12-18,297.8401184082031,10.35364191997005,-74.96541178661992
SANTO TOMÁS,2021,2021-12-18,297.53075154622394,10.744048200714978,-74.79479581261772
SOLEDAD,2021,2021-12-18,297.8980407714844,10.906909741834337,-74.77842447604834
SUAN,2021,2021-12-18,297.8929138183594,10.310850238176537,-74.90713309116475
TUBARÁ,2021,2021-12-18,297.72760009765625,10.907060348938533,-74.98448392990626
USIACURÍ,2021,2021-12-18,297.11480712890625,10.740522656584362,-74.98267412624779
BARRANQUILLA,2021,2021-12-19,298.5198059082031,10.98152771823087,-74.82774915964693
BARANOA,2021,2021-12-19,297.1368103027344,10.793293658378715,-74.92219640305643
CAMPO DE LA CRUZ,2021,2021-12-19,298.04888916015625,10.402620855645086,-74.87840832085742
CANDELARIA,2021,2021-12-19,297.5837097167969,10.489019585448387,-74.87756539446083
GALAPA,2021,2021-12-19,297.51318359375,10.897721024361596,-74.88708921871891
